Models,Accuracy
StrongSeed_GaussianNB_avg_10,0.7333333333333333
StrongSeed_LogisticRegression_avg_10,0.7666666666666667
StrongSeed_DecisionTreeClassifier_avg_10,0.8
StrongSeed_RandomForestClassifier_avg_10,0.75
StrongSeed_XGBClassifier_avg_10,0.7333333333333333
StrongSeed_MLPClassifier_avg_10,0.7666666666666667
StrongSeed_GaussianNB_avg,0.7333333333333333
StrongSeed_DecisionTreeClassifier_avg,0.7166666666666667
StrongSeed_LogisticRegression_avg,0.75
StrongSeed_RandomForestClassifier_avg,0.75
StrongSeed_XGBClassifier_avg,0.7833333333333333
StrongSeed_MLPClassifier_avg,0.8
StrongSeed_GaussianNB_rating_rol10,0.85
StrongSeed_LogisticRegression_rating_rol10,0.8333333333333334
StrongSeed_DecisionTreeClassifier_rating_rol10,0.7666666666666667
StrongSeed_RandomForestClassifier_rating_rol10,0.85
StrongSeed_XGBClassifier_rating_rol10,0.8666666666666667
StrongSeed_MLPClassifier_rating_rol10,0.8
StrongSeed_GaussianNB_avg_rating,0.85
StrongSeed_LogisticRegression_avg_rating,0.85
StrongSeed_DecisionTreeClassifier_avg_rating,0.8666666666666667
StrongSeed_RandomForestClassifier_avg_rating,0.85
StrongSeed_XGBClassifier_avg_rating,0.85
StrongSeed_MLPClassifier_avg_rating,0.85
StrongSeed_Actual,1.0
