Slot,StrongSlot,WeakSlot,StrongSeed,WeakSeed
R1W1,W01,W16,1345,1192
R1W2,W02,W15,1266,1436
R1W3,W03,W14,1243,1286
R1W4,W04,W13,1397,1418
R1W5,W05,W12,1181,1331
R1W6,W06,W11,1246,1344
R1W7,W07,W10,1277,1425
R1W8,W08,W09,1272,1194
R1X1,X01,X16,1104,1394
R1X2,X02,X15,1112,1343
R1X3,X03,X14,1124,1364
R1X4,X04,X13,1438,1202
R1X5,X05,X12,1361,1158
R1X6,X06,X11,1166,1301
R1X7,X07,X10,1281,1429
R1X8,X08,X09,1268,1452
R1Y1,Y01,Y16,1222,1297
R1Y2,Y02,Y15,1400,1159
R1Y3,Y03,Y14,1462,1244
R1Y4,Y04,Y13,1231,1245
R1Y5,Y05,Y12,1274,1179
R1Y6,Y06,Y11,1235,1338
R1Y7,Y07,Y10,1401,1336
R1Y8,Y08,Y09,1234,1120
R1Z1,Z01,Z16,1242,1224
R1Z2,Z02,Z15,1417,1421
R1Z3,Z03,Z14,1211,1213
R1Z4,Z04,Z13,1163,1233
R1Z5,Z05,Z12,1388,1433
R1Z6,Z06,Z11,1395,1113
R1Z7,Z07,Z10,1321,1129
R1Z8,Z08,Z09,1116,1228
R2W1,R1W1,R1W8,1192,1194
R2W2,R1W2,R1W7,1266,1277
R2W3,R1W3,R1W6,1243,1246
R2W4,R1W4,R1W5,1397,1181
R2X1,R1X1,R1X8,1104,1268
R2X2,R1X2,R1X7,1343,1281
R2X3,R1X3,R1X6,1124,1166
R2X4,R1X4,R1X5,1202,1361
R2Y1,R1Y1,R1Y8,1222,1120
R2Y2,R1Y2,R1Y7,1400,1336
R2Y3,R1Y3,R1Y6,1462,1338
R2Y4,R1Y4,R1Y5,1231,1274
R2Z1,R1Z1,R1Z8,1242,1116
R2Z2,R1Z2,R1Z7,1417,1321
R2Z3,R1Z3,R1Z6,1211,1395
R2Z4,R1Z4,R1Z5,1163,1388
R3W1,R2W1,R2W4,1194,1397
R3W2,R2W2,R2W3,1277,1243
R3X1,R2X1,R2X4,1104,1361
R3X2,R2X2,R2X3,1343,1166
R3Y1,R2Y1,R2Y4,1222,1274
R3Y2,R2Y2,R2Y3,1400,1462
R3Z1,R2Z1,R2Z4,1116,1163
R3Z2,R2Z2,R2Z3,1417,1211
R4W1,R3W1,R3W2,1194,1243
R4X1,R3X1,R3X2,1361,1166
R4Y1,R3Y1,R3Y2,1274,1400
R4Z1,R3Z1,R3Z2,1163,1211
R5WX,R4W1,R4X1,1194,1361
R5YZ,R4Y1,R4Z1,1274,1163
R6CH,R5WX,R5YZ,1361,1163
W16,W16a,W16b,1192,1411
X16,X16a,X16b,1369,1394
Y11,Y11a,Y11b,1280,1338
Z11,Z11a,Z11b,1113,1305
