,Naive Bayes,Decision Tree,Voting,Random Forest,Logistic Regression,XGBoost,MLP
0,0.5223880597014925,0.4925373134328358,0.582089552238806,0.582089552238806,0.5970149253731343,0.5373134328358209,0.5671641791044776
1,0.6119402985074627,0.5074626865671642,0.6567164179104478,0.7313432835820896,0.5970149253731343,0.6716417910447762,0.5373134328358209
2,0.5671641791044776,0.5970149253731343,0.6417910447761194,0.6567164179104478,0.5522388059701493,0.6865671641791045,0.4925373134328358
3,0.7014925373134329,0.6268656716417911,0.6417910447761194,0.5970149253731343,0.47761194029850745,0.6716417910447762,0.6417910447761194
4,0.6865671641791045,0.6567164179104478,0.7313432835820896,0.7761194029850746,0.6567164179104478,0.7164179104477612,0.6268656716417911
5,0.6268656716417911,0.5671641791044776,0.7014925373134329,0.7014925373134329,0.7014925373134329,0.7014925373134329,0.6119402985074627
6,0.6567164179104478,0.6567164179104478,0.746268656716418,0.746268656716418,0.6567164179104478,0.7313432835820896,0.7164179104477612
7,0.7164179104477612,0.6417910447761194,0.7611940298507462,0.6865671641791045,0.5373134328358209,0.6716417910447762,0.746268656716418
8,0.7014925373134329,0.6567164179104478,0.7313432835820896,0.7761194029850746,0.7313432835820896,0.7014925373134329,0.7313432835820896
9,0.5909090909090909,0.6212121212121212,0.6515151515151515,0.6060606060606061,0.5151515151515151,0.6818181818181818,0.6818181818181818
10,0.6119402985074627,0.5671641791044776,0.7014925373134329,0.7014925373134329,0.6865671641791045,0.6716417910447762,0.6865671641791045
11,0.7164179104477612,0.5671641791044776,0.6268656716417911,0.6417910447761194,0.6119402985074627,0.6716417910447762,0.6268656716417911
